time,mean_temp_celsius,pr,mosquito_density_m,biting_rate_a,prob_vector_human_bh,prob_human_vector_bm,extrinsic_incubation_n,vector_mortality_mu_m,vectorial_capacity_Vc
2002-01-01,26.176105948041556,0.09425214007378052,0.1,0.2068572555765787,0.9516123667531798,1.0,10.891845963627503,0.029723643058689353,0.09910572467829487
2002-01-01,26.684751590937577,0.0,0.1,0.20904443184103158,0.964076358851534,1.0,10.47387957702,0.028718900539939973,0.10858898840916535
2002-01-01,26.257725581872474,0.009158210936332125,0.1,0.20720822000205164,0.9539336040094023,1.0,10.823003381455074,0.029559201701504945,0.10062368152303605
2002-01-01,23.76127499185988,0.0275130417446598,0.1,0.1964734824649975,0.8396264347054295,0.0,13.275376271266394,0.0342450243787098,0.0
2002-01-01,24.14495714842793,0.10359285057380262,0.12071857011476053,0.1981233157382401,0.8620486908931808,0.0,12.84781265410748,0.033639248952179956,0.0
2002-01-01,26.375839532656602,0.04324211208659486,0.1,0.2077161099904234,0.9570813537741367,1.0,10.724595247849365,0.029322966088418,0.10282665722941889
2002-01-01,24.918394100604804,0.10058030157460915,0.12011606031492184,0.20144909463260063,0.9025409655113992,0.0,12.04489336568997,0.03224794063687719,0.0
2002-01-01,25.4334945448622,0.0,0.1,0.20366402654290744,0.9254439693637883,0.0,11.551001254679258,0.031232285009698213,0.0
2002-01-01,24.566226484560048,0.03847818531523945,0.1,0.1999347738836082,0.8849427272903168,0.0,12.401028529982257,0.03290604959687626,0.0
2002-01-01,25.116254749962916,0.0851890021674667,0.1,0.20229989542484053,0.9117568317020118,0.0,11.85146913904654,0.03186387398476054,0.0
2002-01-01,25.117252438777022,0.0,0.1,0.20230418548674117,0.9118020163020847,0.0,11.850505699441419,0.03186191554048112,0.0
2002-02-01,30.27521263072589,0.0,0.1,0.22448341431212132,0.8406279230270415,1.0,8.16263732777795,0.027471160001777406,0.12322828083681041
2002-02-01,31.008915008169964,0.019150666202703844,0.1,0.22763833453513085,0.7303929180096693,1.0,7.803430619239224,0.029917041540844735,0.10017059364221868
2002-02-01,30.23914192197327,0.0,0.1,0.22432831026448505,0.8448285528852103,1.0,8.181146718977036,0.02738535364322603,0.12408449068293263
2002-02-01,28.98031047627268,0.10880472274191624,0.12176094454838325,0.2189153350479725,0.9423335676435781,1.0,8.881349953464873,0.026021773452455488,0.16771002073801206
2002-02-01,30.038474914360286,0.012274856927108996,0.1,0.22346544213174924,0.8665057062775557,1.0,8.285630084799338,0.02696128728100433,0.12836125564172632
2002-02-01,27.946825612619143,0.04207966277332076,0.1,0.21447135013426233,0.9708157274381388,1.0,9.543025382620133,0.026685032608552373,0.12972150123135254
2002-02-01,29.6978486260922,0.0,0.1,0.22200074909219644,0.8973724031526251,1.0,8.46899977225684,0.02643578864413554,0.13373880359332216
2002-02-01,30.825317592959067,0.0,0.1,0.22684886564972398,0.7630470085439673,1.0,7.8902986795807255,0.029172313359556057,0.1069272745670301
2002-02-01,27.904427283835407,0.05764776734305824,0.1,0.21428903732049226,0.9712478371405496,1.0,9.57200773489243,0.026736184431373378,0.12914760297898178
2002-02-01,27.43551896852227,0.05898197666942785,0.1,0.21227273156464577,0.9727502265833847,1.0,9.90282569060341,0.027395583577563,0.12197978105036296
2002-02-01,30.5639254303518,0.07393742457117047,0.1,0.22572487935051275,0.8033017858056679,1.0,8.017409018464157,0.0282690825268741,0.11542378006362439
2002-02-01,29.460664952996325,0.0,0.1,0.2209808592978842,0.9149896777781418,1.0,8.601296956319583,0.026202151057579837,0.13611642662800785
